网站,中国大陆月访问量（K）,网址
Pornhub,8407,pornhub.com
1024核工厂,7445,downmn.rocks;downsx.rocks;1024mzs.xyz;downmz.pw;downmn.pw;downmz.rocks;downmm.com;downmn.xyz;downmz.com;1024wanzhai.xyz;1024wanzhai.rocks
JavBus,6975,javbus.com;busjav.cc;xwb2uooia5o59avwxb.com;seedmm.net;dmmsee.net;javbus.work;seedmm.cc;buscdn.net;seedmm.co;javbus.info;dmmbus.cc;dmmbus.co;busdmm.cc;busdmm.net;javbus2.pw;javbus.pw
草榴社區,7123,t66y.com;flexui.win;etet.men;o5b.club;s5r.club;dety.men;xz0.club;e8v.club
ExHentai / E-Hentai,4954,exhentai.org;e-hentai.org;ehtracker.org
JavLibrary,4664,javlibrary.com;k25m.com;o23g.com;w24j.com;p26y.com
XVIDEOS,4588,xvideos.com
91PORN,4357,91porn.com;p03.space;91p02.rocks;91p02.club;p02.space;91p12.space
AVMOO,3849,avmoo.xyz;avmoo.net;tellme.pw
南+ South Plus / 北+ North Plus,2874,south-plus.net;white-plus.net
M-Team,2884,m-team.cc
琉璃神社,2420,llss.mx;liuli.in;hacg.me
桃花族论坛 ,2542,thzthz.cc;thzdz.com;thz2.cc;taohuale.us
幻想次元,1769,acg18.us
FANZA,1538,dmm.co.jp
Nyaa Sukebei,1555,sukebei.nyaa.si
Avgle,1310,avgle.com
SexInSex,1336,sexinsex.net
紳士の庭,1156,gmgard.com
绯月Galgame,1096,2dkf.com;9moe.com
比思論壇,1160,bi-si.xyz;hk-pic4.xyz;hkbbcc.xyz;hk-pic2.xyz
2DJGAME / Mikocon,1062,2djgame.net;mikocon.com
第一会所,919,sis001.com
DLsite,862,dlsite.com
nhentai,893,nhentai.net
ZodGame,928,zodgame.us
灵梦御所,873,reimu.net
色花堂,767,54sadsad.com;6677x.me
xHamster,894,xhamster.com
Sankaku Complex,769,sankakucomplex.com
yande.re,782,yande.re
PLAYNO.1玩樂達人,862,playno1.com
魔性论坛,798,moxing.email
紳士漫畫,742,wnacg.org;wnacg.com
XNXX,756,xnxx.com
司機會所,750,xiuxiqu.top;sjhs.pw
Iwara,765,iwara.tv
狩都高速,635,japonx.vip
绅士仓库,738,cangku.moe
嗷呜ACG,614,awacg7.com
萌幻之乡,638,huan.moe
2DFan,599,2dfan.com
JAV MOST,588,javmost.com
SS同盟,624,sstm.moe
R18,632,r18.com
gif动态图吧,619,xiugif.com
